Expt,genes
2,3.46519
2,11.0132
2,1.28119
2,3.98058
2,9.13706
2,3.64238
2,9.27757
2,3.1869
2,13.8172
2,2.52428
2,2.03424
2,1.94476
2,7.55863
2,33.673
2,5.52064
2,5.00456
2,73.8461
2,4.15316
2,5.78439
2,61.5975
2,0.00953519
2,3.54937
2,1.24075
2,1.72224
2,5.34497
2,19.4003
2,5.83025
2,34.3672
2,4.33235
2,16.2138
2,9.7098
2,0.478245
2,15.4395
2,5.70653
2,12.928
2,4.3007
2,5.51384
2,8.28597
2,5.57202
2,60.6946
2,5.25592
2,0.0002389
2,1.02807
2,0.274175
2,4.02814
2,3.30838
2,6.99052
2,31.8316
2,29.6604
2,1.83856
2,15.1462
2,2.94967
2,1.7263
2,4.4019
2,4.2435
2,11.3037
2,15.5607
2,2.52483
2,5.17364
2,2.11805
2,12.1669
2,1.98934
2,5.02568
2,2.63022
2,15.3498
2,8.12651
2,3.37007
2,2.85573
2,2.55273
2,1.30707
2,2.46581
2,2.34186
2,4.89356
2,1.11545
2,1.35544
2,4.50371
2,11.9819
2,9.09472
2,18.0717
2,0.0225396
2,0.365374
2,22.849
2,5.14407
3,232.129
3,20.8807
3,43.0603
3,35.7217
3,219.631
3,171.603
3,308.085
3,20.4728
3,222.894
3,94.3979
3,81.9393
3,35.7848
3,109.698
3,70.7942
3,59.3491
3,35.2018
3,39.1631
3,67.8142
3,51.7974
3,89.3943
3,168.623
3,84.1125
3,0.0
3,71.8555
3,23.894
3,305.526
3,23.4271
3,135.22
3,40.249
3,39.0318
3,1.54538
3,39.2481
3,90.2065
3,0.0
3,298.523
3,58.3169
3,52.5581
3,0.0
3,0.0
3,28.9802
3,38.6254
3,44.9174
3,75.3029
3,58.0609
3,79.9342
3,33.8093
3,370.613
3,467.927
3,79.1363
3,303.615
3,59.9106
3,77.0388
3,28.7841
3,34.0396
3,94.3086
3,30.7923
3,358.89
3,31.8661
3,85.1498
3,81.1836
3,50.4591
3,61.4383
